Name,Description,Primary Industry,Size,Type,Country,Domain,LinkedIn URL,Company Target Reasoning,Company Target,Company Address,Remote HQ?,Location Target Reasoning,Location Target
JENESIA1,"* Jenesia1 is a Service-Disabled Veteran Own Small 
Business (SDVOSB), established in 2010, by a retired Army Telecommunication 
Engineer.  Our team are Subject Matter Experts (SME) of information 
systems (Electronic, and Physical Security Systems).",Telecommunications,2-10 employees,Privately Held,United States,techmavesoftwaredemo.com,https://www.linkedin.com/company/jenesia1-inc.,"Jenesia1 clearly offers installation and integration services for security systems, specifically mentioned through various solutions like Closed Circuit Television (CCTV) and intrusion protection systems. They also state their support for local Law Enforcement Agencies and deliver technology for surveillance, indicating a comprehensive set of services in this domain. All evidence points towards a clear focus on field installation and integration, fulfilling the requirements for target classification.",YES,"503 E Main St, Powellsville, NC 27967, United States",YES,"The population of Powellsville, NC, which is 189 according to [Wikipedia](https://en.wikipedia.org/wiki/Powellsville,_North_Carolina), is less than 100,000. The nearest city to Powellsville with a population over 100,000 is likely Greenville, NC. The driving distance from Powellsville to Greenville is 63 miles (101.39 km) as indicated by the [DistanceCites](https://www.distance-cities.com/distance-greenville-nc-to-powellsville-nc). This distance is greater than the required 50 miles or 80 km, meeting the condition for YES.",YES
Wire Monkey Electric LLC.,"Electrical service and installation for residential and commercial customers.
Voice and data network cabling (the origin of the name Wire Monkey)
Photovoltaic installation and service.
Based in Middlebury, Vermont, Wire Monkey Electric is committed to quality work, safety, and customer satisfaction.",Construction,Self-employed,Self Employed,United States,wiremonkeyelectric.com,https://www.linkedin.com/company/wire-monkey-electric-llc.,"Wire Monkey Electric LLC clearly offers installation services for audio-visual systems, electronic security, and structured cabling as evidenced by their service listings which include sound systems, security camera systems, alarm systems, structured cabling, and network wiring. Additionally, they have a dedicated team for installation services, indicating they perform the work themselves. This aligns with the criteria that classify them as a TARGET company. More details can be found on their website: [Wire Monkey Services](https://www.wiremonkeyinc.com/services).",YES,"107 Sarahs Way, Middlebury, VT 05753, USA",YES,"The population of Middlebury, VT, as confirmed by the 2020 census, is 9,152, well below the 100,000 threshold [Wikipedia page on Middlebury, VT](https://en.wikipedia.org/wiki/Middlebury,_Vermont). The nearest city to Middlebury, VT, with a population over 100,000 is Springfield, MA, which has a population of 155,929 [Wikipedia list of cities in New England by population](https://en.wikipedia.org/wiki/List_of_cities_in_New_England_by_population). The driving distance from Middlebury, VT to Springfield, MA is approximately 158 miles, which is well over the 50-mile requirement [Rome2Rio travel information](https://www.rome2rio.com/s/Middlebury-College/Springfield-MA-USA). Therefore, the conditions for returning 'YES' are fully met.",YES
EverGuard Systems,"EverGuard Systems specializes in the installation and maintenance of UL-compliant fire alarm and intrusion detection systems, high-resolution surveillance solutions, door access control systems, structured cabling (Cat6) and wireless networking, automated water leak detection with motorized shut-off valves, permanent architectural accent lighting, comprehensive fire alarm testing and maintenance, and integrated home automation systems for residential and commercial applications.",Security Systems Services,2-10 employees,Self Owned,United States,everguardsystems.com,https://www.linkedin.com/company/everguard-systems,"EverGuard Systems offers installation services for surveillance cameras, fire alarm systems, and burglar alarms, indicating they perform field installation for security systems. They describe themselves as a one-stop-shop for custom installations and provide on-site consultations, confirming their capability of onsite work. This matches the criteria for a target company. [CCTV -Surveillance Cameras](https://everguardsystems.com/cctv/), [Fire Alarm Systems](https://everguardsystems.com/fire-alarms/), [Burglar Alarms](https://everguardsystems.com/burglar-alarms/)",YES,"990 Golden Gate Terrace, Grass Valley, CA 95945, USA",YES,"1. **Population of Grass Valley**: The population of Grass Valley, CA is approximately 14,074, which is well below the 100,000 required to immediately return NO. Source: [U.S. Census Bureau QuickFacts](https://www.census.gov/quickfacts/fact/table/grassvalleycitycalifornia/PST045224).

2. **Nearest Major City**: The closest major city to Grass Valley, CA, with a population over 100,000 is Sacramento, CA. Source: [Travelmath](https://www.travelmath.com/cities-near/Grass+Valley,+CA).

3. **Population of Sacramento**: The population of Sacramento, CA is approximately 526,384, which is well over 100,000, confirming it as a major city. Source: [U.S. Census Bureau QuickFacts](https://www.census.gov/quickfacts/fact/table/sacramentocitycalifornia/PST045224).

4. **Road Distance**: The road distance from Grass Valley, CA to Sacramento, CA is 57 miles, which is greater than the 50 miles required to potentially satisfy the goal condition. Source: [Rome2rio](https://www.rome2rio.com/s/Grass-Valley/Sacramento).

Since all conditions for outputting YES are met, the response is YES.",YES
Ozark Home Technologies,We are committed to outstanding customer service and specialize in residential and commercial security systems and video surveillance systems.,Security Systems Services,2-10 employees,Privately Held,United States,ozarkhometechnologies.com,https://www.linkedin.com/company/ozark-home-technologies,"Ozark Home Technologies provides services related to installation of alarm systems, residential and commercial video surveillance, as well as other automation services. There are customer testimonials specifically mentioning their installation work, which indicates they perform the field installation of audio-visual and security equipment. This meets the criteria required for a target company. The information was confirmed from their official site: [Ozark Home Technologies](https://ozarkhometechnologies.com).",YES,"5 Carter Cir, Bella Vista, AR 72714, United States",YES,"Bella Vista, Arkansas, has a population of 32,368 as of 2023, which is less than 100,000. The nearest major city with a population of 100,000 or more is Springfield, Missouri, which is 110 miles away from Bella Vista. This distance is greater than the required 50 miles. Therefore, all conditions for returning YES are met: Bella Vista has a population below 100,000, Springfield is the nearest city with 100,000+ population, and the road distance is at least 50 miles (80 km). [Bella Vista population](https://www.census.gov/quickfacts/fact/table/bellavistacityarkansas/PST040224) [Nearest major city to Bella Vista](https://www.idcide.com/citydata/ar/bella-vista.htm) [Driving distance from Bella Vista to Springfield](https://www.travelmath.com/drive-distance/from/Bella+Vista,+AR/to/Springfield,+MO)",YES
River Valley Low Voltage,"River Valley Low Voltage is a security and communications company. We’re passionate about keeping businesses and homes simply connected. Based in Fairfax, MN, we proudly serve Southern Minnesota and beyond.

Our comprehensive services include:
	•	Surveillance and Security Systems: Protect what matters most with tailored camera systems.
	•	Door Access Control: Secure and manage facility access with ease.
	•	Fiber Optics: Fast, reliable cabling for modern communication needs.
	•	Wi-Fi & Networking: Robust, high-performance networks to support your business.
	•	Permanent Holiday Lighting: Energy-efficient, professional lighting solutions.

Whether you’re a small business or a large organization, we take pride in crafting personalized solutions to meet your unique needs. From designing reliable Wi-Fi networks to implementing advanced security systems, River Valley Low Voltage is your trusted partner for professional-grade equipment and exceptional service.

Let’s create solutions together that work for you, keeping you connected, secure, and stress-free.

Learn more about how we simplify security and communications: www.rivervalleylowvoltage.com",Telecommunications,Self-employed,Self Employed,United States,rivervalleylowvoltage.com,https://www.linkedin.com/company/river-valley-low-voltage,"River Valley Low Voltage provides installation services in audio/video systems, security camera systems, and structured cabling, fulfilling the core requirements. They have evidence of technicians and installations in the provided project gallery, which includes various systems such as burglar alarms and security cameras. Furthermore, their emphasis on delivering technology solutions implies that they actually perform the installations. The detailed project gallery showcases their work, confirming their capabilities as an installer. Their website indicates expertise in low-voltage systems, placing them in compliance with the target criteria.",YES,"503 1st St SE, Fairfax, MN 55332, USA",YES,"The population of Fairfax, MN is 1,250 according to [Wikipedia](https://en.wikipedia.org/wiki/Fairfax,_Minnesota), which is below 100,000. The nearest city with a population of 100,000 or more is Minneapolis, MN, located 78 miles away according to [Travelmath](https://www.travelmath.com/cities-near/Fairfax,+MN). The driving distance from Fairfax, MN to Minneapolis, MN is approximately 96 miles as per [Travelmath](https://www.travelmath.com/distance/from/Fairfax,+MN/to/Minneapolis,+MN), which is greater than 50 miles (80 km). Therefore, all conditions for the 'YES' answer are satisfied.",YES
"Water Street Communications, LLC","Water Street Communications, LLC is a leading telecom/IT/CCTV infrastructure construction,  installation, maintenance, and support services provider. Established in 2013, Water Street Communications team has been on the cutting edge of infrastructure installation for more than 20 years of experience. Our work ethic, attention to detail and listening to the customer enables us to troubleshoot with accuracy and delivering quality service on time and within budget. We pride ourselves on our ability to provide on time quality installations.",Telecommunications,2-10 employees,Self Owned,United States,waterstcommunications.com,https://www.linkedin.com/company/water-street-communications,"Water Street Communications, LLC engages in the installation and maintenance of various systems including telecommunications, IT setups, and video surveillance. They offer services related to both audio-visual equipment and security systems, indicating that they perform onsite installations. This is supported by their presence in business categories like Audio Visual Equipment and Security Equipment. Additionally, the information found confirms they have a hands-on role in installations as evidenced by their stated services on their website and other credible sources like the BBB profile.",YES,"210 S Water St, Tuscumbia, AL 35674, USA",YES,"Tuscumbia, AL has a population of 9,169 according to the [U.S. Census Bureau](https://www.census.gov/quickfacts/fact/table/tuscumbiacityalabama/PST045223), which is less than 100,000. The nearest major city with a population over 100,000 is Birmingham, AL, which is 113-114 miles away according to [Travelmath](https://www.travelmath.com/drive-distance/from/Birmingham,+AL/to/Tuscumbia,+AL). Therefore, all conditions are verified true and the answer is YES.",YES
Advanced Protective Technologies,"Advanced Protective Technologies is a leading provider of low voltage on the Emerald Coast for residential and commercial properties since 2003. We do security systems, camera systems, gate operators, access control, audio solutions, and structured wiring. Each system is designed by our team to accommodate our customers every need. There is nothing too big or too small.",Security Systems Services,2-10 employees,Self Owned,United States,aptfireandsecurity.com,https://www.linkedin.com/company/advanced-protective-technologies,"Advanced Protective Technologies provides a variety of installation services including CCTV, intrusion systems, video surveillance, structured wiring, gated entry systems, access control, and audio systems. Their website shows that they perform these installations and provide field work evidence such as service details and descriptions of their projects. Additionally, they incorporate audio/video components as part of their service offerings, confirming their role as an A/V integrator. This meets all criteria for being a target customer for IC Intracom. Source: [aptfireandsecurity.com](https://aptfireandsecurity.com)",YES,"216 Mountain Dr #104, Destin, FL 32541, US",YES,"1. The current population of Destin, FL is 13,931 as of the 2020 census, which is less than 100,000. This data was verified from the [Wikipedia page for Destin, FL](https://en.wikipedia.org/wiki/Destin,_Florida).
2. The nearest major city with a population over 100,000 is New Orleans, LA, which is approximately 250 miles (402 km) away from Destin, FL. This information is confirmed by several sources including [Travelmath](https://www.travelmath.com/distance/from/New+Orleans,+LA/to/Destin,+FL) and [Visit Florida](https://www.visitflorida.com/travel-ideas/articles/driving-from-new-orleans-to-destin/).
3. Since the population of Destin is below 100,000 and the nearest major city with a population greater than 100,000 is over 50 miles away, the headquarters address satisfies the condition for returning ""YES"".",YES
Genius Security Solutions,"No matter what your security needs are from your home, office or company website our professional staff can help. Genius Security is NEPA’s number one provider of electronic security systems and camera installation solutions. Genius Security Solutions is based on providing all our customers with uninterrupted safety and peace of mind. GSS is commitment to developing our own security technology and improving the overall industry.",Security and Investigations,2-10 employees,Privately Held,United States,onlinegenius.net,https://www.linkedin.com/company/onlinegenius-llp,"Genius Security Solutions is confirmed to perform installations in audiovisual and security systems, including IT infrastructure, audio visual, CCTV, alarms, and access control. This evidence directly supports their role as a field installer in relevant low-voltage systems.",YES,"333 Chestnut St, Dunmore, PA 18512, USA",YES,"Dunmore, PA has a population of 14,186 as of 2023, which is well below the 100,000 threshold for immediate elimination [source](https://www.census.gov/quickfacts/fact/table/dunmoreboroughpennsylvania/PST045223). The nearest major city with a population over 100,000 to Dunmore, PA is Newark, NJ, which is 109 road miles away [source](https://www.travelmath.com/distance/from/Dunmore,+PA/to/Newark,+NJ). Since the road distance is greater than 50 miles, the conditions required for answering 'YES' are met.",YES
"LAN NET Solutions, LLC","LAN NET Solutions, LLC provides structured cabling installation solutions that support existing and emerging technologies for voice and data applications. LANNET is in the business of supplying its customers with a high quality, honest answers to all of their cabling needs.

LAN NET Solutions, LLC was founded in order to service customers with quality design and installation of cabling systems in the commercial marketplace. The company has been built on the more than 40 years of combined experience of the owners, Mr. Jim Bringolf, Scott Hooks and Lonny Hooks.  LANNET concentrates on the Texas market, but can also provide services throughout the Southwest. Our primary business activity includes the design, installation, and maintenance of Voice, Data, Fiber and Security Cabling Infrastructure.

At LANNET, we provide highly trained, experienced, professional technicians and management personnel so that we can offer the highest level of customer service, support and satisfaction to our clients. Commitment to quality, continuous customer service, and affordability is what we offer, Every Time!",Telecommunications,2-10 employees,Partnership,United States,lannetsolutions.com,https://www.linkedin.com/company/lan-net-solutions-inc,"LAN NET Solutions, LLC provides structured cabling installations and services related to voice, data, and fiber optic cabling, indicating they perform installations. They also provide emergency on-site support, which further confirms their involvement in field work.",YES,"1651 N Earl Rudder Fwy, Bryan, TX 77803, USA",YES,"The population of Bryan, TX, as of 2023 is 89,615, which is below 100,000. 

Bryan's nearest major city with a population exceeding 100,000 is Houston, TX. 

The road distance from Bryan, TX to Houston, TX is approximately 95.5 miles. 

Since all the conditions are met (Bryan's population is <100,000, nearest major city's population >100,000, and road distance is ≥50 miles), the answer is YES.

Sources: 
- [U.S. Census Bureau for Bryan population](https://www.census.gov/quickfacts/fact/table/bryancitytexas/PST045224)
- [Travelmath for nearest major city](https://www.travelmath.com/cities-near/Bryan,+TX)
- [Rome2Rio for road distance](https://www.rome2rio.com/s/Bryan/Houston)",YES
Spy Systems,"Spy Systems has quickly established a reputation in the industry for reliability, trustworthiness, and quality surveillance solutions for a diverse customer base in the restaurant/fast food industry. We install and service a variety of audio & video security systems in all 50 States.
Focusing on affordable high quality computer based surveillance systems we combined our passion for understanding our customers’ needs with the latest technology in the field . This is what differentiates us from other surveillance companies, and enables us to provide the knowledge and expertise that is so critical in our industry. We are constantly seeking the latest in video and audio security technology and know hands down that we have the most competitive prices in the industry.  Our prices are so low that we're able to offer a low price guarantee, so we will not be beat. Our customers are more then just our clients, they are our partners, and we provide them with unparalleled support in utilizing their systems to the greatest effect. From small family Restaurants to large manufacturing facilities, Spy Systems has a state of the art video & audio security systems for any and all business types.",Security and Investigations,2-10 employees,Public Company,United States,spy-systems.com,https://www.linkedin.com/company/spy-systems,"Spy Systems installs and services a variety of audio & video security systems across all 50 States. They focus on computer-based surveillance systems, indicating they perform installation work on-site. Their emphasis on customer needs, extensive industry reputation, and service offerings meet the criteria for field installation and integration of audio-visual and security systems. Additionally, they are active in providing surveillance solutions, further confirming their operational involvement in the sector.",YES,"17 Tanner Rd, Webster, MA 01570, USA",YES,"The population of Webster, MA is approximately 12,300 as per the Census Reporter [source](http://censusreporter.org/profiles/16000US2573930-webster-ma/), which is below 100,000. The nearest city with a population over 100,000 is Boston, MA, and the driving distance from Webster, MA to Boston, MA is 58 miles (93.34 kilometers) [source](https://www.distance-cities.com/distance-webster-ma-to-boston-ma), satisfying the condition of being at least 50 miles (80 kilometers) away. Therefore, all conditions for ""YES"" are met.",YES
